book_id,book_name,name,code,parent_code,type,url
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,2.2.,10001_100082,10001_100080,lesson,../protec_book_10001/content/10001_100082.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,2.3.,10001_100083,10001_100080,lesson,../protec_book_10001/content/10001_100083.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,2.4.,10001_100084,10001_100080,lesson,../protec_book_10001/content/10001_100084.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,2.5.,10001_100085,10001_100080,lesson,../protec_book_10001/content/10001_100085.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3. Додаткові вимоги безпечного проведення робіт під час застосування вантажопідіймальних засобів праці,10001_100086,10001_100071,folder,
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.1.,10001_100087,10001_100086,lesson,../protec_book_10001/content/10001_100087.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.2.,10001_100088,10001_100086,lesson,../protec_book_10001/content/10001_100088.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.3.,10001_100089,10001_100086,lesson,../protec_book_10001/content/10001_100089.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.4.,10001_100090,10001_100086,lesson,../protec_book_10001/content/10001_100090.html
protec_book_10001,ЗАГАЛЬНІ ВИМОГИ СТОСОВНО ЗАБЕЗПЕЧЕННЯ РОБОТОДАВЦЯМИ ОХОРОНИ ПРАЦІ ПРАЦІВНИКІВ,3.5.,10001_100091,10001_100086,lesson,../protec_book_10001/content/10001_100091.html
